nm,発光,nm,励起光,,,,,,,
300.5323771,34.44466017,261,4.126152501,,,,300.5323771,34.44466017,261,4.126152501
300.5323771,34.19396226,262,4.201277104,,,,300.5323771,34.19396226,262,4.201277104
302.1846266,34.44466017,263,3.942182881,,,,302.1846266,34.44466017,263,3.942182881
302.1846266,34.19396226,264,4.019928682,,,,302.1846266,34.19396226,264,4.019928682
303.836876,34.44466017,265,4.078597496,,,,303.836876,34.44466017,265,4.078597496
303.836876,34.19396226,266,3.985498144,,,,303.836876,34.19396226,266,3.985498144
305.4891255,34.61179212,267,3.896304705,,,,305.4891255,34.61179212,267,3.896304705
305.4891255,34.27752823,268,3.807804252,,,,305.4891255,34.27752823,268,3.807804252
307.141375,34.61179212,269,3.803875475,,,,307.141375,34.61179212,269,3.803875475
307.141375,34.27752823,270,3.719741436,,,,307.141375,34.27752823,270,3.719741436
308.7936244,34.61179212,271,3.641449939,,,,308.7936244,34.61179212,271,3.641449939
308.7936244,34.27752823,272,3.579355593,,,,308.7936244,34.27752823,272,3.579355593
310.4458739,34.61179212,273,3.510097663,,,,310.4458739,34.61179212,273,3.510097663
310.4458739,34.27752823,274,3.449562047,,,,310.4458739,34.27752823,274,3.449562047
312.0981234,34.61179212,275,3.372355384,,,,312.0981234,34.61179212,275,3.372355384
312.0981234,34.27752823,276,3.323868978,,,,312.0981234,34.27752823,276,3.323868978
313.7503729,34.61179212,277,3.278500707,,,,313.7503729,34.61179212,277,3.278500707
313.7503729,34.27752823,278,3.158538692,,,,313.7503729,34.27752823,278,3.158538692
315.4026223,34.61179212,279,3.127806909,,,,315.4026223,34.61179212,279,3.127806909
315.4026223,34.27752823,280,3.100987782,,,,315.4026223,34.27752823,280,3.100987782
317.0548718,34.61179212,281,2.940615558,,,,317.0548718,34.61179212,281,2.940615558
317.0548718,34.27752823,282,2.922880577,,,,317.0548718,34.27752823,282,2.922880577
318.7071213,34.61179212,283,2.907804782,,,,318.7071213,34.61179212,283,2.907804782
318.7071213,34.27752823,284,2.891507486,,,,318.7071213,34.27752823,284,2.891507486
320.3593707,34.61179212,285,2.737902996,,,,320.3593707,34.61179212,285,2.737902996
320.3593707,34.27752823,286,2.713620007,,,,320.3593707,34.27752823,286,2.713620007
322.0116202,34.61179212,287,2.713620007,,,,322.0116202,34.61179212,287,2.713620007
322.0116202,34.27752823,288,2.580906893,,,,322.0116202,34.27752823,288,2.580906893
323.6638697,34.61179212,289,2.581243643,,,,323.6638697,34.61179212,289,2.581243643
323.6638697,34.27752823,290,2.587341222,,,,323.6638697,34.27752823,290,2.587341222
325.3161192,34.61179212,291,2.481764105,,,,325.3161192,34.61179212,291,2.481764105
325.3161192,34.27752823,292,2.486781887,,,,325.3161192,34.27752823,292,2.486781887
326.9683686,34.61179212,293,2.501135159,,,,326.9683686,34.61179212,293,2.501135159
326.9683686,34.27752823,294,2.508814148,,,,326.9683686,34.27752823,294,2.508814148
328.6206181,34.61179212,295,2.393414321,,,,328.6206181,34.61179212,295,2.393414321
328.6206181,34.27752823,296,2.39921589,,,,328.6206181,34.27752823,296,2.39921589
330.2728676,34.61179212,297,2.402785412,,,,330.2728676,34.61179212,297,2.402785412
330.2728676,34.27752823,298,2.334213862,,,,330.2728676,34.27752823,298,2.334213862
331.925117,34.61179212,299,2.333495208,,,,331.925117,34.61179212,299,2.333495208
331.925117,34.27752823,300,2.330792559,,,,331.925117,34.27752823,300,2.330792559
333.5773665,34.61179212,301,2.327881851,,,,333.5773665,34.61179212,301,2.327881851
333.5773665,34.27752823,302,2.322720705,,,,333.5773665,34.27752823,302,2.322720705
335.229616,34.61179212,303,2.316430093,,,,335.229616,34.61179212,303,2.316430093
335.229616,34.27752823,304,2.169957249,,,,335.229616,34.27752823,304,2.169957249
336.8818655,34.61179212,305,2.16187704,,,,336.8818655,34.61179212,305,2.16187704
336.8818655,34.27752823,306,2.153896611,,,,336.8818655,34.27752823,306,2.153896611
338.5341149,34.61179212,307,2.143279986,,,,338.5341149,34.61179212,307,2.143279986
338.5341149,34.27752823,308,2.132933766,,,,338.5341149,34.27752823,308,2.132933766
340.1863644,34.61179212,309,2.121021993,,,,340.1863644,34.61179212,309,2.121021993
340.1863644,34.27752823,310,2.107940795,,,,340.1863644,34.27752823,310,2.107940795
341.8386139,34.61179212,311,2.09615275,,,,341.8386139,34.61179212,311,2.09615275
341.8386139,34.27752823,312,2.081620746,,,,341.8386139,34.27752823,312,2.081620746
343.4908633,34.61179212,313,2.068131446,,,,343.4908633,34.61179212,313,2.068131446
343.4908633,34.27752823,314,1.912323835,,,,343.4908633,34.27752823,314,1.912323835
345.1431128,34.61179212,315,1.89975772,,,,345.1431128,34.61179212,315,1.89975772
345.1431128,34.27752823,316,1.885345724,,,,345.1431128,34.27752823,316,1.885345724
346.7953623,34.61179212,317,1.844222801,,,,346.7953623,34.61179212,317,1.844222801
346.7953623,34.27752823,318,1.83067278,,,,346.7953623,34.27752823,318,1.83067278
348.4476118,34.61179212,319,1.818713915,,,,348.4476118,34.61179212,319,1.818713915
348.4476118,34.27752823,320,1.778735569,,,,348.4476118,34.27752823,320,1.778735569
350.0998612,34.61179212,321,1.765371409,,,,350.0998612,34.61179212,321,1.765371409
350.0998612,34.27752823,322,1.751038871,,,,350.0998612,34.27752823,322,1.751038871
351.7521107,34.61179212,323,1.71202396,,,,351.7521107,34.61179212,323,1.71202396
351.7521107,34.27752823,324,1.69746976,,,,351.7521107,34.27752823,324,1.69746976
353.4043602,34.61179212,325,1.684235354,,,,353.4043602,34.61179212,325,1.684235354
353.4043602,34.27752823,326,1.670614081,,,,353.4043602,34.27752823,326,1.670614081
355.0566096,34.61179212,327,1.634567358,,,,355.0566096,34.61179212,327,1.634567358
355.0566096,34.27752823,328,1.622198119,,,,355.0566096,34.27752823,328,1.622198119
356.7088591,34.61179212,329,1.608318575,,,,356.7088591,34.61179212,329,1.608318575
356.7088591,34.27752823,330,1.573626177,,,,356.7088591,34.27752823,330,1.573626177
358.498796,34.77892406,331,1.561456325,,,,358.498796,34.77892406,331,1.561456325
358.3611086,34.3610942,332,1.549433464,,,,358.3611086,34.3610942,332,1.549433464
