nm,発光,nm,励起光
322,41.50780676,441,0.663229623
322.5,41.6188279,442,0.662653967
323,41.70994708,443,0.662179339
323.5,41.73228726,444,0.661933272
324,41.70728701,445,0.661578676
324.5,41.77941252,446,0.660967011
325,42.20871986,447,0.660959008
325.5,42.68660519,448,0.660944004
326,42.78236571,449,0.636230491
326.5,42.74275618,450,0.636292614
327,42.7544108,451,0.636400968
327.5,42.81047333,452,0.628478596
328,42.88075351,453,0.628928002
328.5,42.94404952,454,0.629440182
329,43.00359457,455,0.630349933
329.5,43.07142948,456,0.623522647
330,43.14447268,457,0.624548506
330.5,43.16808916,458,0.62594044
331,43.16337888,459,0.620656532
331.5,43.21357103,460,0.62200868
332,43.28916236,461,0.623081377
332.5,43.35173557,462,0.617820032
333,43.41096337,463,0.619248851
333.5,43.47870362,464,0.620925921
334,43.55007759,465,0.615333738
334.5,43.57951473,466,0.617555312
335,43.58296657,467,0.618990902
335.5,43.62657491,468,0.62056787
336,43.69635557,469,0.615899639
336.5,43.76071927,470,0.618082794
337,43.80635721,471,0.620301946
337.5,43.86026925,472,0.615692133
338,43.95251547,473,0.618168528
338.5,44.06147262,474,0.620470423
339,44.1518177,475,0.616013085
339.5,44.19944358,476,0.618777645
340,44.25749773,477,0.621722694
340.5,44.35681171,478,0.619086496
341,44.45868855,479,0.622389481
341.5,44.54947086,480,0.62528624
342,44.63996076,481,0.622582515
342.5,44.75961267,482,0.626647689
343,44.90940151,483,0.631004897
343.5,45.06113795,484,0.635122267
344,45.18541843,485,0.632960243
344.5,45.27776636,486,0.63809119
345,45.3691025,487,0.643581014
345.5,45.46723753,488,0.643220537
346,45.56459675,489,0.650659764
346.5,45.65140854,490,0.656948577
347,45.75134881,491,0.656776689
347.5,45.89708531,492,0.663631371
348,46.02350195,493,0.670839602
348.5,46.11231669,494,0.671063351
349,46.24454628,495,0.678443971
349.5,46.3866938,496,0.686351245
350,46.48206759,497,0.693994778
350.5,46.57408906,498,0.696123116
351,46.66957417,499,0.703922376
351.5,46.74986412,500,0.712117465
352,46.88648189,501,0.720525029
352.5,47.08672471,502,0.728822254
353,47.24334793,503,0.736341767
353.5,47.38590529,504,0.729929132
354,47.5761928,505,0.737749605
354.5,47.77511565,506,0.745684268
355,47.96328287,507,0.746282118
355.5,48.15120213,508,0.753286824
356,48.34891618,509,0.76056885
356.5,48.54136985,510,0.760655124
357,48.68908909,511,0.767109372
357.5,48.83788484,512,0.773588484
358,49.03187658,513,0.779732116
358.5,49.21338104,514,0.778877605
359,49.41248525,515,0.755628367
359.5,49.70061481,516,0.790742954
360,49.96222241,517,0.789698063
360.5,50.14266786,518,0.794964261
361,50.329794,519,0.800103016
361.5,50.51814195,520,0.797674373
362,50.6973841,521,0.801645975
362.5,50.95406077,522,0.805417231
363,51.24503932,523,0.800736026
363.5,51.45119341,524,0.803770202
364,51.62096054,525,0.806140677
364.5,51.81387226,526,0.808758614
365,52.04088306,527,0.804170486
365.5,52.28774398,528,0.807049459
366,52.52995359,529,0.809678939
366.5,52.74405038,530,0.804429628
367,52.92578043,531,0.8061769
367.5,53.09916428,532,0.807817349
368,53.33970613,533,0.802086274
368.5,53.63548929,534,0.803575258
369,53.86105833,535,0.804885889
369.5,54.02622355,536,0.799687653
370,54.20641719,537,0.800726112
370.5,54.46988138,538,0.801446794
371,54.75793331,539,0.795216833
371.5,54.95945617,540,0.79588177
372,55.1378179,541,0.781236427
372.5,55.33194041,542,0.795386341
373,55.50706945,543,0.790521364
373.5,55.72711197,544,0.790651485
374,56.02314357,545,0.791373821
374.5,56.26425759,546,0.784894493
