0,1,2
106,-1553.707225818705,-3854.0840985467785
107,-1408.0807711969596,-3780.226606649585
108,-1465.3884452456873,-3804.6526728608296
109,-1041.748440936624,-3384.756275938764
110,-1071.9448928396837,-2239.658210070317
111,-886.3388869255623,4195.268826807042
112,-1246.880586782874,-3609.1903948758145
113,-1473.5478585062049,-3742.330032265528
114,-1666.8365319882132,-4004.1552801140037
115,-1381.7774425969678,-3745.040383408873
116,-1440.8567817697613,-3322.778490374809
117,-880.2479899608749,1586.3913122762133
118,-773.4789161549202,-3035.3194011207256
119,-856.4185573691946,-3224.835174716377
120,-1303.4483785070424,-3652.798039447935
121,-1163.391445770326,-3523.8633411393325
122,-1141.7860435073492,-3495.1668286950944
123,-929.6459897084651,-3202.7539594514355
124,-1077.303578785601,-3405.678493955236
125,-958.6988676548999,-3328.2487462962326
126,-772.456779308987,-3113.9089086077197
127,-1277.3581279498376,-3576.229359965562
128,-1344.800113058481,-3683.6002258705603
129,-886.6694370870601,-3244.590125275672
130,-846.7242599147678,-3184.7327518579614
131,-852.4676313129519,-3227.505048817907
132,-686.1013518688171,-3003.5297624005575
133,-663.4456417565268,-3026.5090153062233
134,-970.2196557840439,-3304.335798992969
135,-869.2015420157279,-1920.6333501645768
136,-819.4439525811949,-3179.565531974545
137,-762.6462999840757,-1747.1059926094667
138,-1067.919434028324,-3461.240116154665
139,-868.9960538753623,-3210.289904500926
140,-1056.7280308094266,-3409.271386561795
141,-730.9764462179812,-3100.7337430316525
142,-742.8271410756513,-3141.6427293483034
143,-460.4031863091013,-2797.997607827957
144,-537.5982466032372,-2844.3922485669104
145,-773.84598155239,-3162.802507752861
146,-401.3147841758845,-2743.304376944343
147,-319.482286828621,-2718.1607703815657
148,-407.0049629776889,-2794.6978897931103
149,-236.88305371274936,-2586.4419773304267
150,-143.74379862607515,281.58636701557197
151,-16.890340913423984,-2367.702774578256
152,-16.817394572010414,-1443.0444653900481
153,348.97587325694496,-1539.9879418913679
154,522.0880045515648,-1852.2806140497994
155,563.8043510054656,-1813.305772275372
156,256.9129016621883,-2151.876041753985
157,558.041121723257,-1798.0830064876939
158,1258.4847725400723,8587.762285508892
159,741.5941193363146,-1607.9969687570026
160,1009.2690504553057,-1353.9795468895059
161,1267.7946668904515,-1069.2775044935242
162,1182.0195504283388,-1164.9236205465547
163,1964.5185522237844,-394.01029726889846
164,1479.0115894116864,-838.114857574654
165,493.7183490222072,-1059.2041577521184
166,1661.8485190051836,-681.308308096774
167,1633.1308153220768,-697.9100727322991
168,1882.3010365090993,-492.860573115587
169,1577.4116354015512,-783.360825438743
170,1769.7827037135498,557.5544966553628
171,1928.249217595069,-381.789230868345
172,1996.2501673285778,3169.0695170289655
173,2640.4061317913015,239.42078235729758
174,2546.314153237352,168.03334937834978
175,2921.150155257638,550.908313492358
176,2086.843461045685,-230.2860463661579
177,2851.6801341652686,438.40674086407313
178,3360.19968060747,1270.3391458719502
179,3801.8961580177365,1526.491355773984
180,3847.413936069602,1532.8856837104627
181,4267.9018556839055,1910.0688728272614
182,13901.326540396201,29668.90040244243
183,4805.719147582871,2468.719173741616
184,5572.183136909625,3208.1192124886243
185,5919.5795954812775,3607.2234509818973
186,6210.87548950194,3854.688060201459
187,7051.457114763374,5384.576067512267
188,7285.136628465843,4939.950851705626
189,6450.619602058194,4112.444034871613
190,8243.06826810945,5936.906083713845
191,8968.49462912565,6610.579403581134
192,9914.439873351674,7646.477943388421
193,10644.693644576055,8305.837346837048
194,10793.570820697983,8479.294379461726
195,11971.139424252726,9675.70715709713
196,12996.249596459753,10618.228237561185
197,15111.899045672939,12784.485031933642
198,17324.603470639155,14994.114652686882
199,19447.579682518033,17121.768713215137
200,21800.02988132919,19496.235615965972
201,24524.15509221981,22214.761938795127
202,26318.338390820296,24023.587328247657
203,28484.89186331859,26177.35531772749
204,31201.81705515647,28848.72390921365
205,33695.44225946533,31390.830025549476
206,35680.435530195806,35496.3866383893
207,37280.93371792243,34930.328868332064
208,39690.03897767906,37367.69930996224
209,42144.59970913025,39820.754645126464
210,43543.71483091197,41214.50545729106
211,44960.35351312906,42673.00769850398
212,46617.46937053948,44294.08953352889
213,47459.21231580971,45179.887153654825
214,49195.23311165159,46856.90036312303
