,em,inte_em,ex,inte_ex
113,614.729265,0.2807451153388156,,
114,615.154874,0.19301226679543573,,
115,615.580474,0.15784676608793174,,
116,616.006067,0.140308236522606,,
117,616.431652,0.1400515403489896,,
118,616.857229,0.10456041783822402,,
119,617.282799,0.156840626757336,,
120,617.70836,0.24531459911149855,,
121,618.133914,0.2803595418417126,,
122,618.559459,0.2609258500000623,,
123,618.984997,0.40264817850334506,,
124,619.410527,0.3676352934160977,,
125,619.836049,0.29706603615430044,,
126,620.261563,0.1565555100000374,,
127,620.68707,0.24353079333339148,,
128,621.112568,0.24486620228456552,,
129,621.538059,0.24308888796165257,,
130,621.963541,0.24486620228456552,,
131,622.389016,0.24486620228456552,,
132,622.814483,0.31482797436586996,,
133,623.239942,0.26045237995891346,,
134,623.665393,0.26045237995891346,,
